STRG.1.1 gene=STRG.1 
STRG.2.1 gene=STRG.2 
STRG.2.2 gene=STRG.2 
STRG.4.1 gene=STRG.4 
STRG.3.2 gene=STRG.3 
STRG.3.1 gene=STRG.3 
STRG.3.3 gene=STRG.3 
STRG.5.1 gene=STRG.5 
STRG.6.1 gene=STRG.6 
STRG.7.1 gene=STRG.7 
STRG.7.3 gene=STRG.7 
STRG.7.4 gene=STRG.7 
STRG.7.2 gene=STRG.7 
STRG.7.5 gene=STRG.7 
STRG.7.6 gene=STRG.7 
STRG.10.5 gene=STRG.10 
STRG.9.1 gene=STRG.9 
STRG.9.2 gene=STRG.9 
STRG.9.3 gene=STRG.9 
STRG.11.1 gene=STRG.11 
STRG.12.1 gene=STRG.12 
STRG.10.6 gene=STRG.10 
STRG.10.1 gene=STRG.10 
STRG.10.4 gene=STRG.10 
STRG.10.3 gene=STRG.10 
STRG.10.2 gene=STRG.10 
STRG.8.1 gene=STRG.8 
STRG.18.2 gene=STRG.18 
STRG.18.1 gene=STRG.18 
STRG.19.1 gene=STRG.19 
STRG.23.3 gene=STRG.23 
STRG.23.1 gene=STRG.23 
STRG.23.2 gene=STRG.23 
STRG.20.3 gene=STRG.20 
STRG.20.1 gene=STRG.20 
STRG.20.2 gene=STRG.20 
STRG.21.2 gene=STRG.21 
STRG.21.1 gene=STRG.21 
STRG.22.1 gene=STRG.22 
STRG.24.1 gene=STRG.24 
STRG.25.2 gene=STRG.25 
STRG.25.1 gene=STRG.25 
STRG.26.1 gene=STRG.26 
STRG.26.2 gene=STRG.26 
STRG.27.1 gene=STRG.27 
STRG.28.1 gene=STRG.28 
STRG.29.1 gene=STRG.29 
STRG.32.2 gene=STRG.32 
STRG.32.1 gene=STRG.32 
STRG.30.1 gene=STRG.30 
STRG.31.1 gene=STRG.31 
STRG.31.2 gene=STRG.31 
STRG.31.3 gene=STRG.31 
STRG.33.1 gene=STRG.33 
STRG.33.2 gene=STRG.33 
STRG.34.1 gene=STRG.34 
STRG.13.1 gene=STRG.13 
STRG.14.1 gene=STRG.14 
STRG.13.2 gene=STRG.13 
STRG.15.1 gene=STRG.15 
STRG.16.1 gene=STRG.16 
STRG.16.2 gene=STRG.16 
STRG.17.1 gene=STRG.17 
STRG.41.2 gene=STRG.41 
STRG.41.3 gene=STRG.41 
STRG.41.1 gene=STRG.41 
STRG.40.1 gene=STRG.40 
STRG.40.2 gene=STRG.40 
STRG.42.1 gene=STRG.42 
STRG.42.2 gene=STRG.42 
STRG.43.3 gene=STRG.43 
STRG.43.1 gene=STRG.43 
STRG.43.2 gene=STRG.43 
STRG.35.1 gene=STRG.35 
STRG.37.1 gene=STRG.37 
STRG.36.1 gene=STRG.36 
STRG.38.1 gene=STRG.38 
STRG.44.1 gene=STRG.44 
STRG.44.2 gene=STRG.44 
STRG.46.1 gene=STRG.46 
STRG.45.1 gene=STRG.45 
STRG.39.1 gene=STRG.39 
STRG.50.1 gene=STRG.50 
STRG.51.1 gene=STRG.51 
STRG.52.1 gene=STRG.52 
STRG.53.1 gene=STRG.53 
STRG.53.2 gene=STRG.53 
STRG.55.1 gene=STRG.55 
STRG.54.1 gene=STRG.54 
STRG.56.1 gene=STRG.56 
STRG.56.2 gene=STRG.56 
STRG.56.3 gene=STRG.56 
STRG.58.1 gene=STRG.58 
STRG.57.1 gene=STRG.57 
STRG.57.2 gene=STRG.57 
STRG.48.1 gene=STRG.48 
STRG.48.2 gene=STRG.48 
STRG.47.2 gene=STRG.47 
STRG.47.1 gene=STRG.47 
STRG.49.2 gene=STRG.49 
STRG.49.1 gene=STRG.49 
STRG.60.1 gene=STRG.60 
STRG.59.3 gene=STRG.59 
STRG.59.1 gene=STRG.59 
